DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CAIAPONIA;16645.2;66038.33;49393.130000000005;0.0;0.0;0.0;13927.44;51768.28;37840.840000000004
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CALDAS NOVAS";18823.34;76773.55;57950.21;0.0;0.0;0.0;84601.86;257802.28;173200.42
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CALDAZINHA;3088.7200000000003;12954.79;9866.07;0.0;0.0;0.0;1764.94;5272.8;3507.86
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CAMPESTRE DE GOIAS";3000.96;12498.7;9497.74;0.0;0.0;0.0;2880.96;4087.2400000000002;1206.28
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CAMPINACU;3592.77;14798.130000000001;11205.36;0.0;0.0;0.0;512.26;2161.58;1649.32
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;CAMPINORTE;4618.68;18898.34;14279.66;0.0;0.0;0.0;5716.9800000000005;28706.62;22989.64
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CAMPO ALEGRE DE GOIAS";10458.61;41584.14;31125.53;0.0;0.0;0.0;5956.74;25693.28;19736.54
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CAMPO LIMPO DE GOIAS";5117.66;21182.0;16064.34;0.0;0.0;0.0;2630.7000000000003;8038.54;5407.84
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CAMPOS BELOS";4991.08;20698.98;15707.9;0.0;0.0;0.0;10747.54;37608.92;26861.38
2025-01-07T00:00:00.000-02:00;202501;2025-01-07T00:00:00.000-02:00;"CAMPOS VERDES";2860.8;11784.41;8923.61;0.0;0.0;0.0;821.0;6517.34;5696.34
